Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Volume,Volume 1week average,Sales growth 5Years,Down from 52w high,Price to Earning,Industry PE,Price to book value,Return over 1month,Return on equity,Return over 1day,Return over 1week,Return over 3months,Return over 1year,Profit growth 5Years,Debt to equity,Piotroski score,Change in FII holding,Change in DII holding,DMA 50,DMA 200,PEG Ratio,OPM,Change in promoter holding,YOY Quarterly sales growth,MACD,RSI,MACD Signal,MACD Signal Previous Day,MACD Previous Day
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,2668.00,37550.83,53142,102741,17.39,13.37,38.82,29.67,5.49,4.41,15.41,0.75,-0.21,13.09,0.22,13.16,0.19,7.00,-0.58,0.57,2584.36,2536.32,1.43,13.47,0.00,37.88,22.79,55.14,25.16,25.76,22.57
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,6036.50,6615.35,2610,6821,18.09,10.24,27.06,49.00,5.01,11.83,20.33,0.22,0.63,11.94,-1.90,25.81,0.31,7.00,-0.10,-0.26,5717.42,5656.00,0.98,27.68,0.00,15.87,128.51,63.38,131.96,132.82,133.27
KSB,500249,KSB,INE999A01023,Industrial Products,"Compressors, Pumps & Diesel Engines",926.50,16127.33,158716,129197,17.41,9.90,58.59,43.99,9.61,13.81,18.39,-0.88,-3.36,8.71,13.04,25.25,0.00,7.00,0.14,-0.31,877.51,822.05,3.45,13.20,0.00,0.99,26.81,59.46,25.38,25.02,28.97
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,7547.00,38691.06,105509,146673,22.95,3.37,57.86,30.31,9.73,7.32,20.26,-2.35,-1.82,24.51,54.46,22.16,0.32,8.00,0.04,-0.48,7160.38,6245.20,2.61,32.64,0.00,33.78,155.31,55.63,160.35,161.61,167.93
Page Industries,532827,PAGEIND,INE761H01022,Textiles & Apparels,Garments & Apparels,41780.00,46660.65,42808,47783,13.12,15.39,59.07,23.31,31.01,8.96,54.29,-1.72,0.99,18.27,-14.58,18.30,0.18,8.00,-1.71,1.72,38927.34,38136.14,5.18,21.97,0.00,14.07,1198.20,59.87,1049.07,1011.79,1263.37
Privi Speci.,530117,PRIVISCL,INE959A01019,Chemicals & Petrochemicals,Specialty Chemicals,3639.30,14221.94,91326,80485,14.96,3.47,43.42,30.31,10.07,12.65,26.04,-0.25,-0.90,23.86,54.20,26.82,0.72,9.00,-0.27,0.42,3383.08,2986.00,0.30,25.21,0.00,17.60,105.68,60.65,101.52,100.48,111.41
