Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Volume,Volume 1week average,Sales growth 5Years,Down from 52w high,Price to Earning,Industry PE,Price to book value,Return over 1month,Return on equity,Return over 1day,Return over 1week,Return over 3months,Return over 1year,Profit growth 5Years,Debt to equity,Piotroski score,Change in FII holding,Change in DII holding,DMA 50,DMA 200,PEG Ratio,OPM,Change in promoter holding,YOY Quarterly sales growth,MACD,RSI,MACD Signal,MACD Signal Previous Day,MACD Previous Day
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,492.90,1182.42,74500,41200,21.36,3.35,26.96,34.17,4.29,3.58,18.65,0.48,-0.94,18.16,92.50,54.27,0.00,7.00,0.29,0.02,455.77,377.70,0.51,16.24,0.03,51.34,13.08,59.71,11.36,10.93,13.51
Auto.Corp.of Goa,505036,,INE451C01013,Auto Components,Auto Components & Equipments,2276.20,1385.90,1531,1988,51.83,4.76,19.20,29.75,4.49,2.84,25.68,2.11,-0.02,30.28,31.65,50.73,0.03,9.00,0.00,0.00,2096.09,1913.97,0.46,9.18,-0.79,24.80,62.30,59.69,67.38,68.65,64.91
Bosch,500530,BOSCHLTD,INE323A01026,Auto Components,Auto Components & Equipments,42225.00,124673.72,26399,46555,15.57,0.80,53.05,29.75,8.39,11.65,16.40,1.48,1.71,13.11,17.95,19.29,0.01,8.00,-0.12,0.15,38669.26,36551.39,2.93,13.23,0.00,13.34,1163.57,71.79,1070.11,1046.75,1145.72
CCL Products,519600,CCL,INE421D01022,Agricultural Food & other Products,Tea & Coffee,1209.20,16175.64,362910,272378,29.11,2.18,41.68,26.48,6.89,5.23,18.00,2.37,1.92,12.14,35.84,16.32,0.56,8.00,0.23,-0.10,1133.34,1024.25,3.80,16.44,0.00,46.49,21.78,63.88,19.15,18.49,20.44
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,2706.80,38075.33,121548,112858,17.39,12.11,39.36,29.75,5.57,7.50,15.41,1.39,1.64,11.25,0.94,13.16,0.19,7.00,-0.58,0.57,2592.38,2539.32,1.45,13.47,0.00,37.88,25.58,59.07,24.87,24.70,22.84
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,5970.50,6539.84,2187,3556,18.09,11.22,26.75,48.83,4.95,3.91,20.33,0.03,-1.17,10.79,-6.34,25.81,0.31,7.00,-0.10,-0.26,5736.80,5662.21,0.97,27.68,0.00,15.87,108.39,57.97,125.00,129.15,117.89
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1579.20,9971.26,207013,217076,46.29,10.98,42.75,23.75,13.57,5.93,40.32,4.53,-0.13,23.12,5.81,74.10,0.51,8.00,0.18,-0.61,1498.18,1393.30,0.43,27.08,0.00,64.21,20.75,55.38,28.28,30.17,20.22
Navin Fluo.Intl.,532504,NAVINFLUOR,INE048G01026,Chemicals & Petrochemicals,Specialty Chemicals,7689.00,39514.14,141656,164697,22.95,1.55,59.09,29.51,9.92,12.60,20.26,4.43,0.56,24.40,50.47,22.16,0.32,8.00,0.04,-0.48,7188.74,6270.61,2.67,32.64,0.00,33.78,132.87,58.31,149.83,154.07,128.97
Pidilite Inds.,500331,PIDILITIND,INE318A01026,Chemicals & Petrochemicals,Specialty Chemicals,1590.40,161872.14,240102,509303,14.89,2.23,65.74,29.51,14.94,7.33,23.92,1.27,-0.93,17.19,4.35,16.69,0.04,7.00,-0.26,0.35,1518.90,1472.81,2.67,24.12,-0.01,14.08,28.78,58.34,32.99,34.04,30.87
Privi Speci.,530117,PRIVISCL,INE959A01019,Chemicals & Petrochemicals,Specialty Chemicals,3621.30,14163.55,32983,59113,14.96,3.94,43.24,29.51,10.02,14.06,26.04,2.08,-3.45,24.87,45.83,26.82,0.72,9.00,-0.27,0.42,3398.62,2997.86,0.30,25.21,0.00,17.60,87.30,57.69,97.26,99.75,92.67
Saint-Gob. Sekur,515043,,INE068B01017,Auto Components,Auto Components & Equipments,133.45,1215.86,54128,74784,18.30,4.47,29.68,29.75,5.00,3.61,17.85,-0.60,1.75,34.28,17.99,36.32,0.01,7.00,0.00,0.00,121.62,111.02,1.52,21.31,0.00,22.89,4.31,58.63,5.03,5.21,4.62
