Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Volume,Volume 1week average,Sales growth 5Years,Down from 52w high,Price to Earning,Industry PE,Price to book value,Return over 1month,Return on equity,Return over 1day,Return over 1week,Return over 3months,Return over 1year,Profit growth 5Years,Debt to equity,Piotroski score,Change in FII holding,Change in DII holding,DMA 50,DMA 200,PEG Ratio,OPM,Change in promoter holding,YOY Quarterly sales growth,MACD,RSI,MACD Signal,MACD Signal Previous Day,MACD Previous Day
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,490.55,1176.78,25500,38500,21.36,3.81,26.83,33.71,4.27,3.12,18.65,-1.59,-1.16,17.30,91.92,54.27,0.00,7.00,0.29,0.02,454.26,376.54,0.51,16.24,0.03,51.34,13.51,58.84,10.93,10.28,14.11
Bosch,500530,BOSCHLTD,INE323A01026,Auto Components,Auto Components & Equipments,41610.00,122764.75,66429,50167,15.57,2.24,52.23,29.49,8.27,13.66,16.40,-0.78,2.02,13.16,17.24,19.29,0.01,8.00,-0.12,0.15,38524.12,36494.41,2.89,13.23,0.00,13.34,1145.72,68.41,1046.75,1022.01,1168.90
Endurance Tech.,540153,ENDURANCE,INE913H01037,Auto Components,Auto Components & Equipments,2669.70,37537.99,157986,113816,17.39,13.32,38.81,29.49,5.49,6.21,15.41,0.06,2.95,12.19,1.80,13.16,0.19,7.00,-0.58,0.57,2587.71,2537.64,1.43,13.47,0.00,37.88,22.84,55.32,24.70,25.16,22.79
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,5968.50,6551.95,1991,5115,18.09,11.25,26.80,48.16,4.95,8.17,20.33,-1.13,-1.35,11.80,-3.43,25.81,0.31,7.00,-0.10,-0.26,5727.27,5659.12,0.97,27.68,0.00,15.87,117.89,57.86,129.15,131.96,128.51
Page Industries,532827,PAGEIND,INE761H01022,Textiles & Apparels,Garments & Apparels,41415.00,46210.70,79238,45256,13.12,16.13,58.50,22.85,30.74,7.43,54.29,-0.87,-5.03,15.20,-15.42,18.30,0.18,8.00,-1.71,1.72,39024.90,38168.86,5.13,21.97,0.00,14.07,1104.38,57.24,1060.13,1049.07,1198.20
Varroc Engineer,541578,VARROC,INE665L01035,Auto Components,Auto Components & Equipments,636.75,9737.65,181593,209297,15.24,8.35,38.36,29.49,5.46,11.50,15.17,-2.21,-0.06,27.43,14.26,19.01,0.52,7.00,0.09,-1.05,592.96,569.10,1.19,9.33,0.00,12.81,20.42,57.87,19.13,18.81,22.00
